,YEAR,SSP,value
446,2091,SSP2,10403.416461165218
447,2091,SSP3,11166.487766505215
448,2091,SSP4,9440.511163868136
449,2091,SSP5,12260.319404776521
450,2092,SSP1,9087.6429072933
451,2092,SSP2,10403.473978112517
452,2092,SSP3,11166.644600918053
453,2092,SSP4,9440.519783246047
454,2092,SSP5,12260.775798712462
455,2093,SSP1,9087.645888194154
456,2093,SSP2,10403.52534464159
457,2093,SSP3,11166.78611673365
458,2093,SSP4,9440.527325445995
459,2093,SSP5,12261.191988006456
460,2094,SSP1,9087.648470669732
461,2094,SSP2,10403.571223240335
462,2094,SSP3,11166.913823169616
463,2094,SSP4,9440.533925816013
464,2094,SSP5,12261.571550206563
465,2095,SSP1,9087.650708221252
466,2095,SSP2,10403.612204524079
467,2095,SSP3,11167.029079510092
468,2095,SSP4,9440.539702604648
469,2095,SSP5,12261.9177415878
470,2096,SSP1,9087.652647132018
471,2096,SSP2,10403.648815087929
472,2096,SSP3,11167.13311011838
473,2096,SSP4,9440.544759133209
474,2096,SSP5,12262.233526226733
475,2097,SSP1,9087.654327445816
476,2097,SSP2,10403.68152449532
477,2097,SSP3,11167.227017935593
478,2097,SSP4,9440.549185690472
479,2097,SSP5,12262.521602430761
480,2098,SSP1,9087.65578381206
481,2098,SSP2,10403.710751498404
482,2098,SSP3,11167.31179661889
483,2098,SSP4,9440.5530611856
484,2098,SSP5,12262.78442676308
485,2099,SSP1,9087.657046215883
486,2099,SSP2,10403.736869575318
487,2099,SSP3,11167.388341457303
488,2099,SSP4,9440.556454590196
489,2099,SSP5,12263.024235882493
490,2100,SSP1,9087.658140608964
491,2100,SSP2,10403.760211859802
492,2100,SSP3,11167.457459189038
493,2100,SSP4,9440.55942619665
494,2100,SSP5,12263.24306639734
