,SSP,YEAR,GDP,POP,LDP,BA,CCF,人均CCF,GDP_CCF_P,GDP2,GDP_POP,GDP_LDP,GDP_BA,result,RESULT
36,SSP1,2056,2593710.2174320007,1294738496,1139098.695546,79317.1294282,77684309760,1860,155622613.0337,65098664061.740005,32496197516935.0,28589856652.579998,1990754066.601,21359400.9305,20939409.25
37,SSP1,2057,2620609.450166,1287423587,1139560.587112,79362.37345719998,77245415220,1860,157236567.0048,65773798895.08,32312641134515.0,28601449514.380005,1991889631.4829998,21581677.846500006,21185070.099609375
38,SSP1,2058,2646188.7211370002,1279872006,1139958.6448349997,79402.76423920001,76792320360,1860,158771323.2594,66415804450.21999,32123076386347.0,28611440231.78,1992903386.0970004,21799482.624500003,21431867.623046875
39,SSP1,2059,2670485.4882509992,1272094776,1140301.630729,79438.81645849999,76325686560,1860,160229129.28910005,67025620870.7,31927877888057.0,28620048718.260002,1993808248.585,21874232.033999998,21679592.951660156
40,SSP1,2060,2693539.772202,1264103494,1140597.1192869998,79470.99142529999,75846209640,1860,161612386.3283,67604252621.10999,31727300635698.0,28627465088.54,1994615797.3430002,21961322.545000006,21928033.837402344
41,SSP1,2061,2716439.689110999,1255912639,1140851.6549510001,79499.70235449998,75354758340,1860,162986381.34860006,68179009968.22999,31521720922562.0,28633853594.699993,1995336403.3400002,22050729.260500003,22176974.646484375
42,SSP1,2062,2738193.1267770007,1247549683,1141070.8889350002,79525.3191935,74852980980,1860,164291587.62040004,68724992211.51001,31311839020787.0,28639356074.27,1995979351.7680006,22216728.349,22426196.36767578
43,SSP1,2063,2758844.2455609995,1239045190,1141259.69885,79548.17299100001,74342711400,1860,165530654.7216,69243307729.64,31098370520900.0,28644094950.930004,1996552951.606,22295010.781999998,22675476.602539062
44,SSP1,2064,2778438.5729799992,1230429841,1141422.293392,79568.5598645,73825790460,1860,166706314.37259996,69735099188.41,30882134272312.0,28648175855.59,1997064634.965,22387000.7485,22924589.57763672
45,SSP1,2065,2797022.6795479995,1221734275,1141562.3021570002,79586.7445859,73304056500,1860,167821360.77310005,70201535454.81,30663903020087.0,28651689890.39,1997521047.0709996,22598661.7415,23173306.134277344
46,SSP1,2066,2815108.28457,1212989727,1141682.855174,79602.9638132,72779383620,1860,168906497.07139996,70655459997.14001,30444425204162.0,28654715610.450005,1997928128.1470003,23318185.545,23421393.734375
47,SSP1,2067,2832277.7740480006,1204230766,1141786.650453,79617.4290325,72253845960,1860,169936666.4536,71086391267.29,30224581329038.0,28657320732.800003,1998291185.8070002,23568276.438500002,23668616.454101562
48,SSP1,2068,2848577.8159560002,1195492557,1141876.013263,79630.3291562,71729553420,1860,170914668.9593,71495500555.32,30005264310106.0,28659563619.97,1998614961.7530003,24038563.037000004,23914734.993652344
49,SSP1,2069,2864054.7615969996,1186810378,1141952.947621,79641.83291689999,71208622680,1860,171843285.69469997,71883951232.57,29787363325586.0,28661494570.84,1998903690.7220004,24423064.40850001,24159506.666992188
50,SSP1,2070,2878754.2867909996,1178219412,1142019.179413,79652.09097450002,70693164720,1860,172725257.2039,72252889690.51999,29571742499551.0,28663156898.36,1999161154.356,24539217.92150001,24402685.407714844
51,SSP1,2071,2896101.797168999,1169742982,1142076.196151,79661.2378411,70184578920,1860,173766107.8307,72688289043.57999,29358984521505.0,28664587941.86,1999390728.4039998,24694469.564500004,24644021.77392578
52,SSP1,2072,2912992.080683,1161356478,1142125.2785150004,79669.39357500001,69681388680,1860,174779524.84399998,73112212614.76999,29148491279213.0,28665819844.770004,1999595426.4330006,24784188.565500006,24883262.931152344
53,SSP1,2073,2929476.507753999,1153023557,1142167.5297240003,79676.665328,69181413420,1860,175768590.46249998,73525949727.93,28939360581199.0,28666880293.109997,1999777937.7069998,25174846.883000005,25120152.673828125
54,SSP1,2074,2945604.923466,1144707764,1142203.9000729998,79683.14871970001,68682465840,1860,176736295.40299997,73930751431.14,28730641788156.0,28667793141.040005,1999940662.215,25281422.128,25354431.40625
55,SSP1,2075,2961425.289584,1136372700,1142235.20734,79688.92906570001,68182362000,1860,177685517.37450007,74327821503.76001,28521430554068.0,28668578911.920002,2000085741.173,25410294.018,25585836.159179688
56,SSP1,2076,2977480.804698001,1127961436,1142262.156064,79694.0824806,67677686160,1860,178648848.28370002,74730793501.86002,28310328654466.0,28669255290.099995,2000215084.9980001,25483609.676000003,25814100.572753906
57,SSP1,2077,2993336.4112059986,1119335351,1142285.3527239999,79698.67686230001,67160121060,1860,179600184.6694,75128748057.71,28093826551858.0,28669837492.730003,2000330397.8090003,25826647.188000005,26038954.915527344
58,SSP1,2078,3009032.1780629996,1110335435,1142305.3197159998,79702.77277449999,66620126100,1860,180541930.6816,75522690850.62,27867931295333.0,28670338638.79,2000433199.76,26423486.321500007,26260126.067871094
59,SSP1,2079,3024604.7548770006,1100802556,1142322.506212,79706.4242399,66048153360,1860,181476285.2946,75913541744.13,27628686364602.0,28670769997.579998,2000524846.6939998,26690467.950000003,26477337.530273438
60,SSP1,2080,3040086.959228,1090577729,1142337.2995650005,79709.6794373,65434663740,1860,182405217.5571,76302124402.38,27372042988394.0,28671141290.34,2000606547.833,26846101.779999997,26690309.422851562
61,SSP1,2081,3050469.504979999,1079564361,1142350.0327380002,79712.58132779998,64773861660,1860,183028170.3012,76562712441.92,27095620938290.0,28671460875.48,2000679381.464,26878374.068000007,26898758.482910156
62,SSP1,2082,3060577.040227,1067916277,1142360.9927579998,79715.1682281,64074976620,1860,183634622.40620002,76816398084.28001,26803271904905.0,28671735957.539997,2000744309.179,26897756.213999994,27102398.06591797
63,SSP1,2083,3070416.909882,1055849686,1142370.426413,79717.47430839998,63350981160,1860,184225014.59309995,77063365675.76,26500423255095.0,28671972731.420006,2000802188.7429998,27262682.026000004,27300938.145507812
64,SSP1,2084,3079990.0377189997,1043580980,1142378.5463100001,79719.53003030003,62614858800,1860,184799402.2679,77303638407.31999,26192493623910.0,28672176528.420002,2000853784.5070002,27399340.805,27494085.317382812
65,SSP1,2085,3089290.4129729997,1031326524,1142385.535224,79721.36255490001,61879591440,1860,185357424.78599995,77537065410.06001,25884924532744.0,28672351940.88001,2000899778.501,27466983.293999992,27681542.78955078
66,SSP1,2086,3099218.8508670004,1019278823,1142391.5507679998,79722.9961128,61156729380,1860,185953131.0565,77786255945.68,25582546450270.0,28672502923.350002,2000940778.5820003,27570095.8525,27863010.395996094
67,SSP1,2087,3108860.1362789995,1007535447,1142396.7284810003,79724.45228860003,60452126820,1860,186531608.17599994,78028239340.83,25287779075304.0,28672632876.5,2000977326.7470002,27775237.5735,28038184.58251953
68,SSP1,2088,3118183.5767159997,996170442,1142401.18501,79725.75034040002,59770226520,1860,187091014.59229994,78262245250.47998,25002543162223.0,28672744729.479996,2001009906.0680006,28205467.921999995,28206758.416992188
69,SSP1,2089,3127149.188292,985257507,1142405.0209340001,79726.90742789999,59115450420,1860,187628951.2931,78487270132.65999,24728657712448.0,28672841004.530003,2001038947.3620002,28370078.38399999,28368421.583984375
70,SSP1,2090,3135707.058560999,974870718,1142408.322491,79727.93885320002,58492243080,1860,188142423.5131,78702061251.55998,24467932856837.0,28672923870.660004,2001064834.8669999,28602563.112499997,28522860.388671875
71,SSP1,2091,3144454.8706520004,965064356,1142411.164238,79728.85827250002,57903861360,1860,188667292.23870003,78921619656.99,24221837345822.0,28672995195.110004,2001087910.9850001,29047102.274999995,28669757.752441406
72,SSP1,2092,3152670.084016,955815130,1142413.610163,79729.67783160001,57348907800,1860,189160205.03890008,79127810544.98001,23989675814764.0,28673056583.73,2001108480.8089998,29197396.364,28808793.215820312
73,SSP1,2093,3160267.2490949994,947080093,1142415.715434,79730.40837729999,56824805580,1860,189616034.94669998,79318489248.46999,23770438414254.0,28673109423.99,2001126816.5770001,29219625.55750001,28939642.939453125
74,SSP1,2094,3167147.8865199997,938816395,1142417.527413,79731.0595823,56328983700,1860,190028873.18779996,79491184062.69,23563044603962.0,28673154903.799995,2001143160.965,29301245.054500006,29061979.69873047
75,SSP1,2095,3173199.661382,930981210,1142419.087027,79731.64005350001,55858872600,1860,190391979.6768,79643075533.69,23366379797306.0,28673194044.659996,2001157730.0560002,29307963.737000003,29175472.893066406
76,SSP1,2096,3177639.8163910005,923531643,1142420.429359,79732.15748190001,55411898580,1860,190658388.99650002,79754517498.43999,23179407202969.0,28673227737.56,2001170716.7319992,29337936.917,29279788.533691406
77,SSP1,2097,3180981.899682999,916424868,1142421.5847930002,79732.6186993,54985492080,1860,190858913.98480004,79838399327.76001,23001050602956.0,28673256735.12,2001182292.7740002,29407141.184499994,29374589.25732422
78,SSP1,2098,3183066.779038001,909617911,1142422.5792900003,79733.02982300002,54577074660,1860,190984006.7283,79890727012.86,22830194578482.0,28673281698.47,2001192611.3149993,29346722.520999994,29459534.311523438
79,SSP1,2099,3183717.6912280004,903067987,1142423.4352179996,79733.3962911,54184079220,1860,191023061.47829998,79907064043.28,22665800546913.0,28673303178.66,2001201809.189001,29328289.2725,29534279.571777344
80,SSP1,2100,3182739.139823001,896732228,1142424.17187,79733.72295339999,53803933680,1860,190964348.39029998,79882503708.1,22506783616536.0,28673321669.239994,2001210007.8690007,29320470.231,29598477.520996094
